NombreComuna,semana_epi_str,IdCausa,Causa,Total,Menores_1,De_1_a_4,De_5_a_14,De_15_a_64,De_65_y_mas
Alhué,02-2024,7,Hospitalizaciones - Sistema Respiratorio,0,0,0,0,0,0
Alhué,02-2024,10,Atenciones de urgencia - IRA Alta (J00-J06),16,1,3,3,8,1
Alhué,02-2024,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),1,0,0,0,0,1
Alhué,02-2024,25,Hospitalizaciones - Total,0,0,0,0,0,0
Alhué,02-2024,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",8,1,0,1,5,1
Alhué,02-2024,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",0,0,0,0,0,0
Alhué,02-2024,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
Alhué,02-2024,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
Alhué,03-2024,1,Atenciones de urgencia - Total,142,5,14,15,78,30
Alhué,03-2024,2,Atenciones de urgencia - Total Respiratorios,28,4,4,6,12,2
Alhué,03-2024,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),5,3,1,1,0,0
Alhué,03-2024,4,Atenciones de urgencia - Influenza (J09-J11),0,0,0,0,0,0
Alhué,03-2024,5,Atenciones de urgencia - Neumonía (J12-J18),3,0,0,0,1,2
Alhué,03-2024,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",3,0,1,1,1,0
Alhué,03-2024,7,Hospitalizaciones - Sistema Respiratorio,0,0,0,0,0,0
Alhué,03-2024,10,Atenciones de urgencia - IRA Alta (J00-J06),16,1,2,4,9,0
Alhué,03-2024,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),1,0,0,0,1,0
Alhué,03-2024,25,Hospitalizaciones - Total,0,0,0,0,0,0
Alhué,03-2024,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",10,0,0,1,7,2
Alhué,03-2024,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",1,0,0,0,1,0
Alhué,03-2024,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
Alhué,03-2024,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
Alhué,04-2024,1,Atenciones de urgencia - Total,108,0,9,14,60,25
Alhué,04-2024,2,Atenciones de urgencia - Total Respiratorios,18,0,4,3,9,2
Alhué,04-2024,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),0,0,0,0,0,0
Alhué,04-2024,4,Atenciones de urgencia - Influenza (J09-J11),0,0,0,0,0,0
Alhué,04-2024,5,Atenciones de urgencia - Neumonía (J12-J18),1,0,0,0,0,1
Alhué,04-2024,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",1,0,0,0,0,1
Alhué,04-2024,7,Hospitalizaciones - Sistema Respiratorio,0,0,0,0,0,0
Alhué,04-2024,10,Atenciones de urgencia - IRA Alta (J00-J06),15,0,4,3,8,0
Alhué,04-2024,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),1,0,0,0,1,0
Alhué,04-2024,25,Hospitalizaciones - Total,0,0,0,0,0,0
Alhué,04-2024,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",5,0,0,0,0,5
Alhué,04-2024,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",3,0,0,0,2,1
Alhué,04-2024,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
Alhué,04-2024,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
Alhué,05-2024,1,Atenciones de urgencia - Total,124,5,10,18,70,21
Alhué,05-2024,2,Atenciones de urgencia - Total Respiratorios,25,3,3,4,10,5
Alhué,05-2024,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),3,0,0,1,1,1
Alhué,05-2024,4,Atenciones de urgencia - Influenza (J09-J11),0,0,0,0,0,0
Alhué,05-2024,5,Atenciones de urgencia - Neumonía (J12-J18),4,0,0,0,0,4
Alhué,05-2024,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",2,0,0,0,2,0
Alhué,05-2024,7,Hospitalizaciones - Sistema Respiratorio,0,0,0,0,0,0
Alhué,05-2024,10,Atenciones de urgencia - IRA Alta (J00-J06),16,3,3,3,7,0
Alhué,05-2024,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),0,0,0,0,0,0
Alhué,05-2024,25,Hospitalizaciones - Total,0,0,0,0,0,0
Alhué,05-2024,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",9,0,0,0,7,2
Alhué,05-2024,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",0,0,0,0,0,0
Alhué,05-2024,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
Alhué,05-2024,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
Alhué,06-2024,1,Atenciones de urgencia - Total,130,2,12,19,69,28
Alhué,06-2024,2,Atenciones de urgencia - Total Respiratorios,27,0,4,4,12,7
Alhué,06-2024,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),2,0,0,0,1,1
Alhué,06-2024,4,Atenciones de urgencia - Influenza (J09-J11),0,0,0,0,0,0
Alhué,06-2024,5,Atenciones de urgencia - Neumonía (J12-J18),2,0,0,0,0,2
Alhué,06-2024,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",0,0,0,0,0,0
Alhué,06-2024,7,Hospitalizaciones - Sistema Respiratorio,0,0,0,0,0,0
Alhué,06-2024,10,Atenciones de urgencia - IRA Alta (J00-J06),20,0,4,4,9,3
Alhué,06-2024,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),3,0,0,0,2,1
Alhué,06-2024,25,Hospitalizaciones - Total,0,0,0,0,0,0
Alhué,06-2024,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",5,0,0,0,1,4
Alhué,06-2024,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",3,0,0,0,3,0
Alhué,06-2024,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
Alhué,06-2024,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
Alhué,07-2024,1,Atenciones de urgencia - Total,126,4,16,11,69,26
Alhué,07-2024,2,Atenciones de urgencia - Total Respiratorios,13,2,3,1,3,4
Alhué,07-2024,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),2,0,1,0,0,1
Alhué,07-2024,4,Atenciones de urgencia - Influenza (J09-J11),0,0,0,0,0,0
Alhué,07-2024,5,Atenciones de urgencia - Neumonía (J12-J18),0,0,0,0,0,0
Alhué,07-2024,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",2,1,1,0,0,0
Alhué,07-2024,7,Hospitalizaciones - Sistema Respiratorio,0,0,0,0,0,0
Alhué,07-2024,10,Atenciones de urgencia - IRA Alta (J00-J06),7,1,1,1,2,2
Alhué,07-2024,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),2,0,0,0,1,1
Alhué,07-2024,25,Hospitalizaciones - Total,0,0,0,0,0,0
Alhué,07-2024,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",9,0,0,0,6,3
Alhué,07-2024,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",2,0,0,0,2,0
Alhué,07-2024,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
Alhué,07-2024,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
Alhué,08-2024,1,Atenciones de urgencia - Total,169,11,15,18,98,27
Alhué,08-2024,2,Atenciones de urgencia - Total Respiratorios,25,5,5,2,10,3
Alhué,08-2024,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),2,0,2,0,0,0
Alhué,08-2024,4,Atenciones de urgencia - Influenza (J09-J11),0,0,0,0,0,0
Alhué,08-2024,5,Atenciones de urgencia - Neumonía (J12-J18),2,0,0,0,0,2
Alhué,08-2024,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",2,1,0,0,1,0
Alhué,08-2024,7,Hospitalizaciones - Sistema Respiratorio,0,0,0,0,0,0
Alhué,08-2024,10,Atenciones de urgencia - IRA Alta (J00-J06),16,4,3,1,7,1
Alhué,08-2024,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),3,0,0,1,2,0
Alhué,08-2024,25,Hospitalizaciones - Total,0,0,0,0,0,0
Alhué,08-2024,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",11,2,0,2,7,0
Alhué,08-2024,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",8,0,0,1,5,2
Alhué,08-2024,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
Alhué,08-2024,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
Alhué,09-2024,1,Atenciones de urgencia - Total,134,4,12,12,85,21
Alhué,09-2024,2,Atenciones de urgencia - Total Respiratorios,20,0,5,2,9,4
Alhué,09-2024,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),2,0,0,0,1,1
Alhué,09-2024,4,Atenciones de urgencia - Influenza (J09-J11),0,0,0,0,0,0
Alhué,09-2024,5,Atenciones de urgencia - Neumonía (J12-J18),3,0,0,0,1,2
Alhué,09-2024,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",0,0,0,0,0,0
Alhué,09-2024,7,Hospitalizaciones - Sistema Respiratorio,0,0,0,0,0,0
Alhué,09-2024,10,Atenciones de urgencia - IRA Alta (J00-J06),14,0,5,2,7,0
Alhué,09-2024,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),1,0,0,0,0,1
Alhué,09-2024,25,Hospitalizaciones - Total,0,0,0,0,0,0
Alhué,09-2024,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",13,0,0,1,11,1
Alhué,09-2024,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",6,0,0,0,4,2
Alhué,09-2024,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
Alhué,09-2024,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
Alhué,10-2024,1,Atenciones de urgencia - Total,135,6,11,25,71,22
Alhué,10-2024,2,Atenciones de urgencia - Total Respiratorios,16,3,3,3,4,3
Alhué,10-2024,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),0,0,0,0,0,0
Alhué,10-2024,4,Atenciones de urgencia - Influenza (J09-J11),1,0,0,0,1,0
Alhué,10-2024,5,Atenciones de urgencia - Neumonía (J12-J18),2,0,0,0,0,2
Alhué,10-2024,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",3,1,1,1,0,0
Alhué,10-2024,7,Hospitalizaciones - Sistema Respiratorio,0,0,0,0,0,0
Alhué,10-2024,10,Atenciones de urgencia - IRA Alta (J00-J06),9,2,2,2,3,0
Alhué,10-2024,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),1,0,0,0,0,1
Alhué,10-2024,25,Hospitalizaciones - Total,0,0,0,0,0,0
Alhué,10-2024,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",12,0,0,4,6,2
Alhué,10-2024,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",8,1,1,0,4,2
Alhué,10-2024,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
Alhué,10-2024,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
Alhué,11-2024,1,Atenciones de urgencia - Total,143,6,12,26,85,14
Alhué,11-2024,2,Atenciones de urgencia - Total Respiratorios,46,3,8,16,17,2
Alhué,11-2024,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),4,0,1,2,0,1
Alhué,11-2024,4,Atenciones de urgencia - Influenza (J09-J11),0,0,0,0,0,0
Alhué,11-2024,5,Atenciones de urgencia - Neumonía (J12-J18),4,0,0,1,3,0
Alhué,11-2024,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",7,1,1,3,2,0
Alhué,11-2024,7,Hospitalizaciones - Sistema Respiratorio,0,0,0,0,0,0
Alhué,11-2024,10,Atenciones de urgencia - IRA Alta (J00-J06),31,2,6,10,12,1
Alhué,11-2024,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),0,0,0,0,0,0
Alhué,11-2024,25,Hospitalizaciones - Total,0,0,0,0,0,0
Alhué,11-2024,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",20,0,0,1,17,2
Alhué,11-2024,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",0,0,0,0,0,0
Alhué,11-2024,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
Alhué,11-2024,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
Alhué,12-2024,1,Atenciones de urgencia - Total,176,3,24,40,91,18
Alhué,12-2024,2,Atenciones de urgencia - Total Respiratorios,64,1,15,24,21,3
Alhué,12-2024,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),3,0,1,1,0,1
Alhué,12-2024,4,Atenciones de urgencia - Influenza (J09-J11),0,0,0,0,0,0
Alhué,12-2024,5,Atenciones de urgencia - Neumonía (J12-J18),1,0,0,1,0,0
Alhué,12-2024,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",9,0,2,3,4,0
Alhué,12-2024,7,Hospitalizaciones - Sistema Respiratorio,0,0,0,0,0,0
Alhué,12-2024,10,Atenciones de urgencia - IRA Alta (J00-J06),48,1,12,19,15,1
Alhué,12-2024,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),3,0,0,0,2,1
Alhué,12-2024,25,Hospitalizaciones - Total,0,0,0,0,0,0
Alhué,12-2024,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",5,0,0,2,3,0
Alhué,12-2024,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",5,0,1,1,3,0
Alhué,12-2024,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
Alhué,12-2024,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
Alhué,13-2024,1,Atenciones de urgencia - Total,156,7,18,37,61,33
Alhué,13-2024,2,Atenciones de urgencia - Total Respiratorios,40,3,11,13,9,4
Alhué,13-2024,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),0,0,0,0,0,0
Alhué,13-2024,4,Atenciones de urgencia - Influenza (J09-J11),0,0,0,0,0,0
Alhué,13-2024,5,Atenciones de urgencia - Neumonía (J12-J18),2,0,0,1,0,1
Alhué,13-2024,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",1,0,0,0,0,1
Alhué,13-2024,7,Hospitalizaciones - Sistema Respiratorio,0,0,0,0,0,0
Alhué,13-2024,10,Atenciones de urgencia - IRA Alta (J00-J06),36,3,11,12,8,2
Alhué,13-2024,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),1,0,0,0,1,0
Alhué,13-2024,25,Hospitalizaciones - Total,0,0,0,0,0,0
Alhué,13-2024,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",2,0,0,0,2,0
Alhué,13-2024,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",0,0,0,0,0,0
Alhué,13-2024,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
Alhué,13-2024,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
Alhué,14-2024,1,Atenciones de urgencia - Total,159,4,17,36,81,21
Alhué,14-2024,2,Atenciones de urgencia - Total Respiratorios,49,2,14,16,14,3
Alhué,14-2024,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),4,0,0,3,1,0
Alhué,14-2024,4,Atenciones de urgencia - Influenza (J09-J11),0,0,0,0,0,0
Alhué,14-2024,5,Atenciones de urgencia - Neumonía (J12-J18),1,0,0,0,1,0
Alhué,14-2024,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",4,0,3,0,1,0
Alhué,14-2024,7,Hospitalizaciones - Sistema Respiratorio,0,0,0,0,0,0
Alhué,14-2024,10,Atenciones de urgencia - IRA Alta (J00-J06),36,2,11,12,10,1
Alhué,14-2024,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),4,0,0,1,1,2
Alhué,14-2024,25,Hospitalizaciones - Total,0,0,0,0,0,0
Alhué,14-2024,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",6,0,0,1,4,1
Alhué,14-2024,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",1,0,0,0,1,0
Alhué,14-2024,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
Alhué,14-2024,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
Alhué,15-2024,1,Atenciones de urgencia - Total,160,4,25,27,83,21
Alhué,15-2024,2,Atenciones de urgencia - Total Respiratorios,47,2,16,9,19,1
Alhué,15-2024,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),8,2,2,0,4,0
Alhué,15-2024,4,Atenciones de urgencia - Influenza (J09-J11),4,0,1,1,2,0
Alhué,15-2024,5,Atenciones de urgencia - Neumonía (J12-J18),1,0,0,0,1,0
Alhué,15-2024,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",3,0,2,0,1,0
Alhué,15-2024,7,Hospitalizaciones - Sistema Respiratorio,0,0,0,0,0,0
Alhué,15-2024,10,Atenciones de urgencia - IRA Alta (J00-J06),31,0,11,8,11,1
Alhué,15-2024,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),0,0,0,0,0,0
Alhué,15-2024,25,Hospitalizaciones - Total,0,0,0,0,0,0
Alhué,15-2024,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",1,0,0,0,1,0
Alhué,15-2024,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",1,0,0,0,0,1
Alhué,15-2024,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
Alhué,15-2024,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
Alhué,16-2024,1,Atenciones de urgencia - Total,163,2,24,35,84,18
Alhué,16-2024,2,Atenciones de urgencia - Total Respiratorios,65,1,16,18,27,3
Alhué,16-2024,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),7,0,2,2,3,0
Alhué,16-2024,4,Atenciones de urgencia - Influenza (J09-J11),0,0,0,0,0,0
Alhué,16-2024,5,Atenciones de urgencia - Neumonía (J12-J18),1,0,1,0,0,0
Alhué,16-2024,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",10,0,1,2,6,1
Alhué,16-2024,7,Hospitalizaciones - Sistema Respiratorio,0,0,0,0,0,0
Alhué,16-2024,10,Atenciones de urgencia - IRA Alta (J00-J06),46,1,12,14,17,2
Alhué,16-2024,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),1,0,0,0,1,0
Alhué,16-2024,25,Hospitalizaciones - Total,0,0,0,0,0,0
Alhué,16-2024,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",0,0,0,0,0,0
Alhué,16-2024,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",1,0,0,0,1,0
Alhué,16-2024,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
Alhué,16-2024,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
Alhué,17-2024,1,Atenciones de urgencia - Total,201,2,21,57,103,18
Alhué,17-2024,2,Atenciones de urgencia - Total Respiratorios,102,2,15,41,40,4
Alhué,17-2024,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),11,1,2,3,5,0
Alhué,17-2024,4,Atenciones de urgencia - Influenza (J09-J11),4,1,0,0,3,0
Alhué,17-2024,5,Atenciones de urgencia - Neumonía (J12-J18),4,0,0,2,1,1
Alhué,17-2024,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",26,0,8,12,5,1
Alhué,17-2024,7,Hospitalizaciones - Sistema Respiratorio,0,0,0,0,0,0
Alhué,17-2024,10,Atenciones de urgencia - IRA Alta (J00-J06),57,0,5,24,26,2
Alhué,17-2024,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),0,0,0,0,0,0
Alhué,17-2024,25,Hospitalizaciones - Total,0,0,0,0,0,0
Alhué,17-2024,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",0,0,0,0,0,0
Alhué,17-2024,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",0,0,0,0,0,0
Alhué,17-2024,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
Alhué,17-2024,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
Alhué,18-2024,1,Atenciones de urgencia - Total,241,5,29,51,138,18
Alhué,18-2024,2,Atenciones de urgencia - Total Respiratorios,134,3,22,39,68,2
Alhué,18-2024,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),12,1,3,2,5,1
Alhué,18-2024,4,Atenciones de urgencia - Influenza (J09-J11),3,0,0,0,3,0
Alhué,18-2024,5,Atenciones de urgencia - Neumonía (J12-J18),4,0,1,0,3,0
Alhué,18-2024,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",24,1,2,6,15,0
Alhué,18-2024,7,Hospitalizaciones - Sistema Respiratorio,0,0,0,0,0,0
Alhué,18-2024,10,Atenciones de urgencia - IRA Alta (J00-J06),89,1,16,31,41,0
Alhué,18-2024,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),2,0,0,0,1,1
Alhué,18-2024,25,Hospitalizaciones - Total,0,0,0,0,0,0
Alhué,18-2024,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",0,0,0,0,0,0
Alhué,18-2024,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",0,0,0,0,0,0
Alhué,18-2024,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
Alhué,18-2024,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
Alhué,19-2024,1,Atenciones de urgencia - Total,188,2,29,40,102,15
Alhué,19-2024,2,Atenciones de urgencia - Total Respiratorios,97,1,13,28,48,7
Alhué,19-2024,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),9,0,1,1,7,0
Alhué,19-2024,4,Atenciones de urgencia - Influenza (J09-J11),5,0,0,3,2,0
Alhué,19-2024,5,Atenciones de urgencia - Neumonía (J12-J18),6,0,0,1,2,3
Alhué,19-2024,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",15,0,2,5,8,0
Alhué,19-2024,7,Hospitalizaciones - Sistema Respiratorio,0,0,0,0,0,0
Alhué,19-2024,10,Atenciones de urgencia - IRA Alta (J00-J06),60,1,10,18,28,3
Alhué,19-2024,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),2,0,0,0,1,1
Alhué,19-2024,25,Hospitalizaciones - Total,0,0,0,0,0,0
Alhué,19-2024,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",0,0,0,0,0,0
Alhué,19-2024,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",0,0,0,0,0,0
Alhué,19-2024,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
Alhué,19-2024,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
Alhué,20-2024,1,Atenciones de urgencia - Total,178,2,14,37,109,16
Alhué,20-2024,2,Atenciones de urgencia - Total Respiratorios,97,1,10,24,58,4
Alhué,20-2024,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),12,0,1,3,7,1
Alhué,20-2024,4,Atenciones de urgencia - Influenza (J09-J11),11,0,0,2,9,0
Alhué,20-2024,5,Atenciones de urgencia - Neumonía (J12-J18),3,0,0,0,3,0
Alhué,20-2024,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",8,0,1,1,5,1
Alhué,20-2024,7,Hospitalizaciones - Sistema Respiratorio,0,0,0,0,0,0
Alhué,20-2024,10,Atenciones de urgencia - IRA Alta (J00-J06),57,1,8,17,31,0
Alhué,20-2024,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),6,0,0,1,3,2
Alhué,20-2024,25,Hospitalizaciones - Total,0,0,0,0,0,0
Alhué,20-2024,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",1,0,0,0,1,0
Alhué,20-2024,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",0,0,0,0,0,0
Alhué,20-2024,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
Alhué,20-2024,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
